ID,Question(English),Choice1,Choice2,Choice3,Choice4,CorrectOption
458,set up,必要とする,設定する・準備する,試す,〜を降ろす,2
459,set up,持っている,ログインする,設定する・準備する,〜に所属する,3
460,write down,飲む,成長する,書き留める,早起きする,3
461,find out,わかる・見つけ出す,伝える,見る,〜について考える,1
462,look for,探す,ログインする,使う,理解する,1
463,remember,現れる,理解する,戻る,覚えている,4
464,spend,元気づける,知っている,（時間・お金を）使う,する,3
465,try,試す,登録する,世話をする,〜に同意する,1
466,hang out,書き留める,〜を起こす,遊ぶ・ぶらぶらする,掃除する,3
467,get,手に入れる,うまくいく・解決する,〜を起こす,落ち着く,1
468,meet,（電源を）消す,うまくいく・解決する,洗う,会う,4
469,wake up early,早起きする,〜とうまくやる,急ぐ,話す,1
470,fill out,提出する,世話をする,アプリにログインする,（用紙に）書き込む,4
471,get ready,準備をする,試す,滞在する,住む,1
472,run into,偶然出会う,見る,疲れる,延期する,1
473,go,使う,見てみる・チェックする,起きる,行く,4
474,try,気分が良くなる,試す,世話をする,配る,2
475,do,する,疲れる,〜とうまくやる,学ぶ,1
476,speak,話題に出す・育てる,話す（言語）,覚えている,勉強する,2
477,cheer up,元気づける,（時間・お金を）使う,旅行する,登録する,1
478,turn on,〜に所属する,取る・連れて行く,（電源を）つける,世話をする,3
479,do,〜を楽しみにする,料理する,外出する,する,4
480,learn,学ぶ,理解する,世話をする,（電源を）つける,1
481,think about,支払う,（電源を）消す,考える,〜について考える,4
482,talk,必要とする,持っている,話す,戻ってくる,3
483,take off,脱ぐ・離陸する,降りる,聞く,終える,1
484,turn down,準備をする,（電源を）つける,起床する,音量を下げる・断る,4
485,find out,立ち寄る,乗り込む・入る,わかる・見つけ出す,学ぶ,3
486,use,現れる,使う,世話をする,言う,2
487,ask,支払う,うまくいく・解決する,休憩する,尋ねる,4
488,hang out,わかる・見つけ出す,〜を起こす,伝える,遊ぶ・ぶらぶらする,4
489,open,開ける,〜に所属する,取る・連れて行く,身に着ける,1
490,hand in,提出する,戻る,起きる,節約する・保存する,1
491,turn down,行く,音量を下げる・断る,見てみる・チェックする,〜を心配する,2
492,run into,来る,登録する,偶然出会う,話す（言語）,3
493,write down,降りる,（お金が）かかる,書き留める,待つ,3
494,get over,〜に所属する,眠りに落ちる,乗り越える,覚えている,3
495,meet,持っている,来る,〜について考える,会う,4
496,drop someone off,〜を降ろす,探す,飲む,作る,1
497,get up,見つける,起床する,旅行する,準備をする,2
498,finish,買う,中止する,終える,（電源を）消す,3
499,open,見る,アプリにログインする,見てみる・チェックする,開ける,4
500,show up,食べる,座る,現れる,現れる・音量を上げる,3
